source_pdf,source_page,source_item,raw_name,normalized_name,canonical_key,canonical_name,category,specimen,official_name,local_name,notes
both,5,139,Định lượng PSA toàn phần (Total prostate-specific antigen),PSA toàn phần (Total prostate-specific antigen),psa_toan_phan,PSA toàn phần,tumor_marker,blood,PSA toàn phần (Total prostate-specific antigen),PSA toàn phần,lab_list_pdf#3:49; lab_med_ministry_pdf#5:139
both,5,138,Định lượng PSA tự do (Free prostate-specific antigen),PSA tự do (Free prostate-specific antigen),psa_tu_do,PSA tự do,tumor_marker,blood,PSA tự do (Free prostate-specific antigen),PSA tự do,lab_list_pdf#3:50; lab_med_ministry_pdf#5:138
manual_curation,0,,PT (thời gian prothrombin),PT (thời gian prothrombin),pt,PT (thời gian prothrombin),coagulation,blood,,,manual_curation (plan section 9)
both,5,140,Định lượng PTH (Parathyroid hormon),PTH (Parathyroid hormon),pth,PTH,coagulation,blood,PTH (Parathyroid hormon),PTH,lab_list_pdf#4:72; lab_med_ministry_pdf#5:140
lab_med_ministry_pdf,5,141,Định lượng Renin activity,Renin activity,renin_activity,Renin activity,chemistry,blood,Renin activity,,
both,5,142,Định lượng RF (Reumatoid factor),RF (Reumatoid factor),rf,RF,immunology,blood,RF (Reumatoid factor),RF,lab_list_pdf#2:30; lab_med_ministry_pdf#5:142
lab_med_ministry_pdf,5,149,Định lượng s TfR (solube transferin receptor),s TfR (solube transferin receptor),s_tfr,s TfR,chemistry,blood,s TfR (solube transferin receptor),,
lab_list_pdf,7,114,Sàng lọc 36 dị nguyên,Sàng lọc 36 dị nguyên,sang_loc_36_di_nguyen,Sàng lọc 36 dị nguyên,chemistry,blood,,Sàng lọc 36 dị nguyên,
manual_curation,0,,SaO2,SaO2,sao2,SaO2,blood_gas,blood,,,manual_curation (plan section 9)
lab_list_pdf,9,42,Sarcoptes scabieshominis (Ghẻ),Sarcoptes scabieshominis,sarcoptes_scabieshominis,Sarcoptes scabieshominis,coagulation,blood,,Sarcoptes scabieshominis (Ghẻ),
lab_list_pdf,9,41,Sarcoptes scabieshominis (Ghẻ) soi tươi,Sarcoptes scabieshominis soi tươi,sarcoptes_scabieshominis_soi_tuoi,Sarcoptes scabieshominis soi tươi,coagulation,blood,,Sarcoptes scabieshominis (Ghẻ) soi tươi,
both,5,143,Định lượng Sắt,Sắt,sat,Sắt,chemistry,blood,Sắt,Sắt,lab_list_pdf#3:32; lab_med_ministry_pdf#5:143
both,5,144,Định lượng SCC (squamous cell carcinoma antigen),SCC (squamous cell carcinoma antigen),scc,SCC,tumor_marker,blood,SCC (squamous cell carcinoma antigen),SCC,lab_list_pdf#3:54; lab_med_ministry_pdf#5:144
lab_med_ministry_pdf,6,171,Định lượng sFlt-1 (yếu tố kháng tân tạo mạch máu),sFlt-1 (yếu tố kháng tân tạo mạch máu),sflt_1,sFlt-1,chemistry,blood,sFlt-1 (yếu tố kháng tân tạo mạch máu),,
lab_med_ministry_pdf,5,145,Định lượng SHBG (Sex hormon binding globulin),SHBG (Sex hormon binding globulin),shbg,SHBG,chemistry,blood,SHBG (Sex hormon binding globulin),,
lab_list_pdf,5,88,Soi cặn nước tiểu bằng kính hiển vi,Soi cặn nước tiểu bằng kính hiển vi,soi_can_nuoc_tieu_bang_kinh_hien_vi,Soi cặn nước tiểu bằng kính hiển vi,chemistry,blood,,Soi cặn nước tiểu bằng kính hiển vi,
lab_med_ministry_pdf,5,146,Định lượng Sperm Antibody,Sperm Antibody,sperm_antibody,Sperm Antibody,chemistry,blood,Sperm Antibody,,
lab_med_ministry_pdf,5,147,Định lượng T (Tri iodothyronine),T (Tri iodothyronine),t,T,chemistry,blood,T (Tri iodothyronine),,lab_med_ministry_pdf#5:147; lab_med_ministry_pdf#5:148
lab_list_pdf,3,38,T3,T3,t3,T3,endocrine,blood,,T3,
lab_list_pdf,3,39,T4,T4,t4,T4,endocrine,blood,,T4,
lab_med_ministry_pdf,6,165,Định lượng T-uptake,T-uptake,t_uptake,T-uptake,coagulation,blood,T-uptake,,
lab_med_ministry_pdf,5,150,Định lượng Tacrolimus,Tacrolimus,tacrolimus,Tacrolimus,chemistry,blood,Tacrolimus,,
lab_list_pdf,10,43,Taenia (Sándây) soi tươi định danh,Taenia soi tươi định danh,taenia_soi_tuoi_inh_danh,Taenia soi tươi định danh,chemistry,blood,,Taenia (Sándây) soi tươi định danh,
both,5,151,Định lượng Testosterol,Testosterol,testosterol,Testosterol,endocrine,blood,Testosterol,Testosterol,lab_list_pdf#4:71; lab_med_ministry_pdf#5:151
both,6,154,Định lượng Tg (Thyroglobulin),Tg (Thyroglobulin),tg,Tg,chemistry,blood,Tg (Thyroglobulin),TG,lab_list_pdf#5:82; lab_med_ministry_pdf#6:154
lab_med_ministry_pdf,5,152,Định lượng TGF beta 1( Transforming Growth Factor Beta 1),TGF beta 1( Transforming Growth Factor Beta 1),tgf_beta_1,TGF beta 1,chemistry,blood,TGF beta 1( Transforming Growth Factor Beta 1),,
lab_med_ministry_pdf,6,153,Định lượng TGF beta 2( Transforming Growth Factor Beta 2),TGF beta 2( Transforming Growth Factor Beta 2),tgf_beta_2,TGF beta 2,chemistry,blood,TGF beta 2( Transforming Growth Factor Beta 2),,
lab_med_ministry_pdf,6,155,Định lượng Theophylline,Theophylline,theophylline,Theophylline,chemistry,blood,Theophylline,,
lab_list_pdf,9,38,Tìm ấu trùng giun chỉ trong máu,Tìm ấu trùng giun chỉ trong máu,tim_au_trung_giun_chi_trong_mau,Tìm ấu trùng giun chỉ trong máu,chemistry,blood,,Tìm ấu trùng giun chỉ trong máu,
lab_list_pdf,9,34,Tìm ấu trùng giun lươn trong phân,Tìm ấu trùng giun lươn trong phân,tim_au_trung_giun_luon_trong_phan,Tìm ấu trùng giun lươn trong phân,chemistry,blood,,Tìm ấu trùng giun lươn trong phân,
lab_med_ministry_pdf,6,163,Định lượng Tobramycin,Tobramycin,tobramycin,Tobramycin,chemistry,blood,Tobramycin,,
lab_med_ministry_pdf,6,164,Định lượng Total p1NP,Total p1NP,total_p1np,Total p1NP,chemistry,blood,Total p1NP,,
lab_list_pdf,5,87,TPT nước tiểu,TPT nước tiểu,tpt_nuoc_tieu,TPT nước tiểu,coagulation,blood,,TPT nước tiểu,
lab_med_ministry_pdf,6,156,Định lượng TRAb (TSH Receptor Antibodies),TRAb (TSH Receptor Antibodies),trab,TRAb,chemistry,blood,TRAb (TSH Receptor Antibodies),,
lab_med_ministry_pdf,6,157,Định lượng Transferin,Transferin,transferin,Transferin,chemistry,blood,Transferin,,
lab_list_pdf,10,44,Trichomonasvaginalis soi tươi,Trichomonasvaginalis soi tươi,trichomonasvaginalis_soi_tuoi,Trichomonasvaginalis soi tươi,chemistry,blood,,Trichomonasvaginalis soi tươi,
both,6,158,Định lượng Triglycerid,Triglycerid,triglycerid,Triglycerid,chemistry,blood,Triglycerid,Triglycerid,lab_list_pdf#1:11; lab_med_ministry_pdf#6:158
both,6,161,Định lượng Troponin I,Troponin I,troponin_i,Troponin I,chemistry,blood,Troponin I,Troponin I,lab_list_pdf#4:57; lab_med_ministry_pdf#6:161
lab_med_ministry_pdf,6,159,Định lượng Troponin T,Troponin T,troponin_t,Troponin T,chemistry,blood,Troponin T,,
both,6,160,Định lượng Troponin T hs,Troponin T hs,troponin_t_hs,Troponin T hs,chemistry,blood,Troponin T hs,Troponin T hs,lab_list_pdf#4:58; lab_med_ministry_pdf#6:160
lab_list_pdf,9,32,"Trứng giun, sán soi tươi","Trứng giun, sán soi tươi",trung_giun_san_soi_tuoi,"Trứng giun, sán soi tươi",chemistry,blood,,"Trứng giun, sán soi tươi",
lab_list_pdf,9,33,Trứng giun soi tập trung,Trứng giun soi tập trung,trung_giun_soi_tap_trung,Trứng giun soi tập trung,chemistry,blood,,Trứng giun soi tập trung,
both,6,162,Định lượng TSH (Thyroid Stimulating hormone),TSH (Thyroid Stimulating hormone),tsh,TSH,endocrine,blood,TSH (Thyroid Stimulating hormone),TSH,lab_list_pdf#3:42; lab_med_ministry_pdf#6:162
manual_curation,0,,TT (thời gian thrombin),TT (thời gian thrombin),tt,TT (thời gian thrombin),coagulation,blood,,,manual_curation (plan section 9)
lab_list_pdf,7,111,Đường dịch não tủy,Đường dịch não tủy,uong_dich_nao_tuy,Đường dịch não tủy,chemistry,blood,,Đường dịch não tủy,
both,7,108,Ure niệu,Ure niệu,ure,Ure niệu,urinalysis,blood,Urê,Ure máu,both#6:166; lab_list_pdf#7:108
lab_med_ministry_pdf,6,167,Định lượng Valproic acid,Valproic acid,valproic_acid,Valproic acid,chemistry,blood,Valproic acid,,
lab_med_ministry_pdf,6,168,Định lượng Vancomycin,Vancomycin,vancomycin,Vancomycin,chemistry,blood,Vancomycin,,
lab_list_pdf,10,46,Vi nấm nhuộm soi,Vi nấm nhuộm soi,vi_nam_nhuom_soi,Vi nấm nhuộm soi,microbiology,blood,,Vi nấm nhuộm soi,
lab_list_pdf,10,45,Vi nấm soi tươi,Vi nấm soi tươi,vi_nam_soi_tuoi,Vi nấm soi tươi,chemistry,blood,,Vi nấm soi tươi,
lab_med_ministry_pdf,6,169,Định lượng Vitamin B12,Vitamin B12,vitamin_b12,Vitamin B12,chemistry,blood,Vitamin B12,,
lab_list_pdf,9,24,Xác định vi khuẩn lao,Xác định vi khuẩn lao,xac_inh_vi_khuan_lao,Xác định vi khuẩn lao,chemistry,blood,,Xác định vi khuẩn lao,
lab_med_ministry_pdf,7,204,Định lượng Clo,Clo,clo,Clo,chemistry,csf,Clo,,
lab_med_ministry_pdf,7,206,Phản ứng Pandy,Pandy,pandy,Pandy,chemistry,csf,Pandy,,
lab_med_ministry_pdf,7,219,Đo tỷ trọng dịch chọc dò,dịch chọc dò,dich_choc_do,dịch chọc dò,chemistry,puncture_fluid,dịch chọc dò,,
lab_med_ministry_pdf,7,217,Phản ứng Rivalta,Rivalta,rivalta,Rivalta,chemistry,puncture_fluid,Rivalta,,
